Title,Rating,Author,Author Gender,Publication Date,Page Count,Statues,Genre,Sub-Genre,Synopsis
The Picture of Dorian Gray,4.4,Oscar Wilde,Male,1890,176,Stand Alone,Philosophical,No Sub-Genre,"When Dorian Gray, a wealthy but naïve and irresistible young man, has his portrait pointed, he rashly wishes that he could remain as beautiful, youthful, and alluring as the handsome face in the portrait. Little does he know that his wish will come true. When encouraged by the decadent Lord Henry Wotton into a life of depravity and self-indulgence, Gray is stunned to discover that while the face in the painting is aging grotesquely, he is not! In fact, he remains as beautiful as ever. Nothing ages him.

But Gray's wanton lifestyle will eventually catch up with him, and the consequences of his reckless behavior will come to haunt him."
Heaven Books,4.6,Mitch Albom,Male,2003,210,Series,Philosophical,No Sub-Genre,"Eddie is a wounded war veteran, an old man who has lived, in his mind, an uninspired life. His job is fixing rides at a seaside amusement park. On his 83rd birthday, a tragic accident kills him, as he tries to save a little girl from a falling cart. He awakes in the afterlife, where he learns that heaven is not a destination. It's a place where your life is explained to you by five people, some of whom you knew, others who may have been strangers. One by one, from childhood to soldier to old age, Eddie's five people revisit their connections to him on earth, illuminating the mysteries of his ""meaningless"" life, and revealing the haunting secret behind the eternal question: ""Why was I here?"""
The Divine Comedy,4.7,Dante Alighieri,Male,1608,928,Stand Alone,Philosophical,Religous,"An epic masterpiece and a foundational work of the Western canon, The Divine Comedy describes Dante's descent into Hell with Virgil as his guide; his ascent of Mount Purgatory and reunion with his dead love, Beatrice; and, finally, his arrival in Heaven. Examining questions of faith, desire, and enlightenment and furnished with semiautobiographical details, Dante's poem is a brilliantly nuanced and moving allegory of human redemption. This acclaimed blank verse translation is published here in a one-volume edition in Penguin Classics' black-spine dress."
The Shadows Between Us,4.4,Tricia Levenseller,Female,2020,336,Stand Alone,Romance,Y/A Novel,"“They’ve never found the body of the first and only boy who broke my heart. And they never will.”

Alessandra is tired of being overlooked, but she has a plan to gain power:
1) Woo the Shadow King.
2) Marry him.
3) Kill him and take his kingdom for herself.

No one knows the extent of the freshly crowned Shadow King’s power. Some say he can command the shadows that swirl around him to do his bidding. Others say they speak to him, whispering the thoughts of his enemies. Regardless, Alessandra knows what she deserves, and she’s going to do everything within her power to get it.

But Alessandra’s not the only one trying to kill the king. As attempts on his life are made, she finds herself trying to keep him alive long enough for him to make her his queen―all while struggling not to lose her heart. After all, who better for a Shadow King than a cunning, villainous queen?"
The Poppy War,4.3,R. F. Kuang,Female,2018,624,Series,Adventure,Fantasy,"A brilliantly imaginative talent makes her exciting debut with this epic historical military fantasy, inspired by the bloody history of China’s twentieth century and filled with treachery and magic, in the tradition of Ken Liu’s Grace of Kings and N.K. Jemisin’s Inheritance Trilogy.

When Rin aced the Keju—the Empire-wide test to find the most talented youth to learn at the Academies—it was a shock to everyone: to the test officials, who couldn’t believe a war orphan from Rooster Province could pass without cheating; to Rin’s guardians, who believed they’d finally be able to marry her off and further their criminal enterprise; and to Rin herself, who realized she was finally free of the servitude and despair that had made up her daily existence. That she got into Sinegard—the most elite military school in Nikan—was even more surprising.

But surprises aren’t always good.

Because being a dark-skinned peasant girl from the south is not an easy thing at Sinegard. Targeted from the outset by rival classmates for her color, poverty, and gender, Rin discovers she possesses a lethal, unearthly power—an aptitude for the nearly-mythical art of shamanism. Exploring the depths of her gift with the help of a seemingly insane teacher and psychoactive substances, Rin learns that gods long thought dead are very much alive—and that mastering control over those powers could mean more than just surviving school.

For while the Nikara Empire is at peace, the Federation of Mugen still lurks across a narrow sea. The militarily advanced Federation occupied Nikan for decades after the First Poppy War, and only barely lost the continent in the Second. And while most of the people are complacent to go about their lives, a few are aware that a Third Poppy War is just a spark away . . .

Rin’s shamanic powers may be the only way to save her people. But as she finds out more about the god that has chosen her, the vengeful Phoenix, she fears that winning the war may cost her humanity . . . and that it may already be too late."
The Priory of The Orange Tree ,4.5,Samantha Shannon,Female,2019,848,Stand Alone,Adventure,Romance,"The House of Berethnet has ruled Inys for a thousand years. Still unwed, Queen Sabran the Ninth must conceive a daughter to protect her realm from destruction--but assassins are getting closer to her door.

Ead Duryan is an outsider at court. Though she has risen to the position of lady-in-waiting, she is loyal to a hidden society of mages. Ead keeps a watchful eye on Sabran, secretly protecting her with forbidden magic.

Across the dark sea, Tané has trained all her life to be a dragonrider, but is forced to make a choice that could see her life unravel.

Meanwhile, the divided East and West refuse to parley, and forces of chaos are rising from their sleep."
The Invisible Life of Addie LaRue,4.5,V. E. Shwab,Female,2021,448,Stand Alone,Fantasy,Romance,"France, 1714: in a moment of desperation, a young woman makes a Faustian bargain to live forever―and is cursed to be forgotten by everyone she meets.

Thus begins the extraordinary life of Addie LaRue, and a dazzling adventure that will play out across centuries and continents, across history and art, as a young woman learns how far she will go to leave her mark on the world.

But everything changes when, after nearly 300 years, Addie stumbles across a young man in a hidden bookstore and he remembers her name."
1984,4.6,George Orwell,Male,1961,328,Stand Alone,Dystopian,Philosophical,"“The Party told you to reject the evidence of your eyes and ears. It was their final, most essential command.”

Winston Smith toes the Party line, rewriting history to satisfy the demands of the Ministry of Truth. With each lie he writes, Winston grows to hate the Party that seeks power for its own sake and persecutes those who dare to commit thoughtcrimes. But as he starts to think for himself, Winston can’t escape the fact that Big Brother is always watching...

A startling and haunting novel, 1984 creates an imaginary world that is completely convincing from start to finish. No one can deny the novel’s hold on the imaginations of whole generations, or the power of its admonitions—a power that seems to grow, not lessen, with the passage of time."
The Day of the Locust,3.6,Nathanael West,Male,1939,160,Stand Alone,Dystopian,Philosophical,"Admired by F. Scott Fitzgerald, Dorothy Parker, and Dashiell Hammett, and hailed as one of the “Best 100 English-language novels” by Time magazine, The Day of the Locust continues to influence American writers, artists, and culture. Bob Dylan wrote the classic song “Day of the Locusts” in homage and Matt Groening’s Homer Simpson is named after one of its characters. No novel more perfectly captures the nuttier side of Hollywood. Here the lens is turned on its fringes ― actors out of work, film extras with big dreams, and parents lining their children up for small roles. But it’s the bit actress Faye Greener who steals the spotlight with her wildly convoluted dreams of stardom: “I’m going to be a star some day―if I’m not I’ll commit suicide.”"
The Hitchhiker's Guide to The Galaxy,4.4,Douglass Adams,Male,1997,248,Series,Sci-Fi,Comedy,"It’s an ordinary Thursday morning for Arthur Dent . . . until his house gets demolished. The Earth follows shortly after to make way for a new hyperspace express route, and Arthur’s best friend has just announced that he’s an alien.

After that, things get much, much worse.

With just a towel, a small yellow fish, and a book, Arthur has to navigate through a very hostile universe in the company of a gang of unreliable aliens. Luckily the fish is quite good at languages. And the book is The Hitchhiker’s Guide to the Galaxy . . . which helpfully has the words DON’T PANIC inscribed in large, friendly letters on its cover."
Falling,4.4,T. J. Newman,Female,2022,320,Stand Alone,Thriller,No Sub-Genre,"You just boarded a flight to New York.

There are one hundred and forty-three other passengers onboard.

What you don’t know is that thirty minutes before the flight your pilot’s family was kidnapped.

For his family to live, everyone on your plane must die.

The only way the family will survive is if the pilot follows his orders and crashes the plane."
Five Days at Memorial,4.5,Sheri Fink,Female,2016,592,Stand Alone,Drama,No Sub-Genre,"After Hurricane Katrina struck and power failed, amid rising floodwaters and heat, exhausted staff at Memorial Medical Center designated certain patients last for rescue. Months later, a doctor and two nurses were arrested and accused of injecting some of those patients with life-ending drugs.

Five Days at Memorial, the culmination of six years of reporting by Pulitzer Prize winner Sheri Fink, unspools the mystery, bringing us inside a hospital fighting for its life and into the most charged questions in health care: which patients should be prioritized, and can health care professionals ever be excused for hastening death?
 
Transforming our understanding of human nature in crisis, Five Days at Memorial exposes the hidden dilemmas of end-of-life care and reveals how ill-prepared we are for large-scale disasters—and how we can do better."
The Girl from Widow Hills,4.2,Megan Miranda,Female,2021,352,Stand Alone,Mystery,No Sub-Genre,"Everyone knows the story of “the girl from Widow Hills.”

Arden Maynor was just a child when she was swept away while sleepwalking during a terrifying rainstorm and went missing for days. Strangers and friends, neighbors and rescue workers, set up search parties and help vigils, praying for her safe return. Against all odds, she was found, alive, clinging to a storm drain. The girl from Widow Hills was a living miracle. Arden’s mother wrote a book. Fame followed. Fans and fan letters, creeps, and stalkers. And every year, the anniversary. It all became too much. As soon as she was old enough, Arden changed her name and disappeared from the public eye.

Now a young woman living hundreds of miles away, Arden goes by Olivia. She’s managed to stay off the radar for the last few years. But with the twentieth anniversary of her rescue approaching, the media will inevitably renew its interest in Arden. Where is she now? Soon Olivia feels like she’s being watched and begins sleepwalking again, like she did long ago, even waking up outside her home. Until late one night, she jolts awake in her yard. At her feet is the corpse of a man she knows—from her previous life, as Arden Maynor."
Daughter of The Moon Godess,4.5,Sue Lynn Tan,Female,2022,500,Series,Fantasy,Romance,"Growing up on the moon, Xingyin is accustomed to solitude, unaware that she is being hidden from the feared Celestial Emperor who exiled her mother for stealing his elixir of immortality. But when Xingyin’s magic flares and her existence is discovered, she is forced to flee her home, leaving her mother behind.

Alone, powerless, and afraid, she makes her way to the Celestial Kingdom, a land of wonder and secrets. Disguising her identity, she seizes an opportunity to learn alongside the emperor’s son, mastering archery and magic, even as passion flames between her and the prince.

To save her mother, Xingyin embarks on a perilous quest, confronting legendary creatures and vicious enemies. But when treachery looms and forbidden magic threatens the kingdom, she must challenge the ruthless Celestial Emperor for her dream—striking a dangerous bargain in which she is torn between losing all she loves or plunging the realm into chaos."
Wayfarers,4.4,Becky Chambers,Female,2014,356,Series,Sci-Fi,Adventure,"Rosemary Harper doesn’t expect much when she joins the crew of the aging Wayfarer. While the patched-up ship has seen better days, it offers her a bed, a chance to explore the far-off corners of the galaxy, and most importantly, some distance from her past. An introspective young woman who learned early to keep to herself, she’s never met anyone remotely like the ship’s diverse crew, including Sissix, the exotic reptilian pilot, chatty engineers Kizzy and Jenks who keep the ship running, and Ashby, their noble captain.

Life aboard the Wayfarer is chaotic and crazy—exactly what Rosemary wants. It’s also about to get extremely dangerous when the crew is offered the job of a lifetime. Tunneling wormholes through space to a distant planet is definitely lucrative and will keep them comfortable for years. But risking her life wasn’t part of the plan. In the far reaches of deep space, the tiny Wayfarer crew will confront a host of unexpected mishaps and thrilling adventures that force them to depend on each other. To survive, Rosemary’s got to learn how to rely on this assortment of oddballs—an experience that teaches her about love and trust, and that having a family isn’t necessarily the worst thing in the universe."
A Game of Thrones,4.7,George R. R. Martin,Male,1996,899,Series,Adventure,No Sub-Genre,"Winter is coming. Such is the stern motto of House Stark, the northernmost of the fiefdoms that owe allegiance to King Robert Baratheon in far-off King’s Landing. There Eddard Stark of Winterfell rules in Robert’s name. There his family dwells in peace and comfort: his proud wife, Catelyn; his sons Robb, Brandon, and Rickon; his daughters Sansa and Arya; and his bastard son, Jon Snow. Far to the north, behind the towering Wall, lie savage Wildings and worse—unnatural things relegated to myth during the centuries-long summer, but proving all too real and all too deadly in the turning of the season.
 
Yet a more immediate threat lurks to the south, where Jon Arryn, the Hand of the King, has died under mysterious circumstances. Now Robert is riding north to Winterfell, bringing his queen, the lovely but cold Cersei, his son, the cruel, vainglorious Prince Joffrey, and the queen’s brothers Jaime and Tyrion of the powerful and wealthy House Lannister—the first a swordsman without equal, the second a dwarf whose stunted stature belies a brilliant mind. All are heading for Winterfell and a fateful encounter that will change the course of kingdoms.
 
Meanwhile, across the Narrow Sea, Prince Viserys, heir of the fallen House Targaryen, which once ruled all of Westeros, schemes to reclaim the throne with an army of barbarian Dothraki—whose loyalty he will purchase in the only coin left to him: his beautiful yet innocent sister, Daenerys."
Lord of The Rings,4.9,J. R. R. Tolkien,Male,1954,437,Series,Adventure,Sci-Fi,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.

Sauron, the Dark Lord, has gathered to him all the Rings of Power—the means by which he intends to rule Middle-earth. All he lacks in his plans for dominion is the One Ring—the ring that rules them all—which has fallen into the hands of the hobbit, Bilbo Baggins.

In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose."
The Song of Achilles,4.6,Madeline Miller,Female,2012,416,Stand Alone,Adventure,Romance,"A tale of gods, kings, immortal fame, and the human heart, The Song of Achilles is a dazzling literary feat that brilliantly reimagines Homer’s enduring masterwork, The Iliad. An action-packed adventure, an epic love story, a marvelously conceived and executed page-turner, Miller’s monumental debut novel has already earned resounding acclaim from some of contemporary fiction’s brightest lights—and fans of Mary Renault, Bernard Cornwell, Steven Pressfield, and Colleen McCullough’s Masters of Rome series will delight in this unforgettable journey back to ancient Greece in the Age of Heroes."
Circe,4.6,Madeline Miller,Female,2020,416,Stand Alone,Adventure,No Sub-Genre,"In the house of Helios, god of the sun and mightiest of the Titans, a daughter is born. But Circe is a strange child -- not powerful, like her father, nor viciously alluring like her mother. Turning to the world of mortals for companionship, she discovers that she does possess power -- the power of witchcraft, which can transform rivals into monsters and menace the gods themselves.

Threatened, Zeus banishes her to a deserted island, where she hones her occult craft, tames wild beasts and crosses paths with many of the most famous figures in all of mythology, including the Minotaur, Daedalus and his doomed son Icarus, the murderous Medea, and, of course, wily Odysseus.

But there is danger, too, for a woman who stands alone, and Circe unwittingly draws the wrath of both men and gods, ultimately finding herself pitted against one of the most terrifying and vengeful of the Olympians. To protect what she loves most, Circe must summon all her strength and choose, once and for all, whether she belongs with the gods she is born from, or the mortals she has come to love.

With unforgettably vivid characters, mesmerizing language, and page-turning suspense, Circe is a triumph of storytelling, an intoxicating epic of family rivalry, palace intrigue, love and loss, as well as a celebration of indomitable female strength in a man's world."
Death-Cast,4.8,Adam Silvera,Male,2018,416,Series,Romance,Y/A Novel,"On September 5, a little after midnight, Death-Cast calls Mateo Torrez and Rufus Emeterio to give them some bad news: They’re going to die today.

Mateo and Rufus are total strangers, but, for different reasons, they’re both looking to make a new friend on their End Day. The good news: There’s an app for that. It’s called the Last Friend, and through it, Rufus and Mateo are about to meet up for one last great adventure—to live a lifetime in a single day."
A Good Girl's Guide to Murder,4.5,Holly Jackson,Female,2021,415,Series,Thriller,Mystery,"Everyone in Fairview knows the story. Pretty and popular high school senior Andie Bell was murdered by her boyfriend, Sal Singh, who then killed himself. It was all anyone could talk about. And five years later, Pip sees how the tragedy still haunts her town. But she can't shake the feeling that there was more to what happened that day. She knew Sal when she was a child, and he was always so kind to her. How could he possibly have been a killer? Now a senior herself, Pip decides to reexamine the closed case for her final project, at first just to cast doubt on the original investigation. But soon she discovers a trail of dark secrets that might actually prove Sal innocent . . . and the line between past and present begins to blur. Someone in Fairview doesn't want Pip digging around for answers, and now her own life might be in danger.
"
Healing Is A Gift,4.7,Alexandra Vasiliu,Female,2021,172,Stand Alone,Philosophical,Poem,"Healing Is a Gift is an empowering poetry collection that explores the profound themes of healing, letting go, changing your old self, loving and appreciating yourself more, growing with hope, and rising again like a bold, beautiful soul.
This uplifting book brings you a powerful and positive message: when you overcome adversities, let go of your past, mend your heart’s wounds, and move forward with your life, you actually give the greatest gifts to yourself.
Choose Healing Is a Gift and start your inward journey towards healing, love, self-esteem, growth, hope, and happiness."
Dare to Let Go,4.6,Alexandra Vasiliu,Female,2022,174,Stand Alone,Philosophical,Poem,"In Dare to Let Go, the bestselling author of Healing Is a Gift explores the complex themes of love, loss, trauma, grief, toxic relationships, depression, healing, personal transformation, and ultimately, the inner strength to find your precious self and rediscover your unique path in life.
Written for all those who try to let go of a dysfunctional relationship and for those who struggle to let go of their past, this empowering poetry collection is a profound journey of healing, hope, change, self-discovery, self-awareness, self-love, enlightenment, freedom, faith, and growth.
Dare to Let Go reminds us that, no matter our life circumstances and adversities, we are all called upon to heal, grow, hope, gather wisdom, love again, and evolve in a beautiful, meaningful way."
Getting Over You,4.8,Leslie B,Female,2022,144,Stand Alone,Philosophical,Poem,"getting over you
was the strangest feeling
i ever had to experience
it was like
my mind knew the answers
but emotionally,
i needed to grieve
before i could be okay
again"
Magnetic,4.5,Alexandra Vasiliu,Female,2021,138,Stand Alone,Philosophical,Poem,"Magnetic is an empowering poetry collection that celebrates the irresistible force of love which attracts two souls toward unity. If you have ever felt this powerful bond and burned with the desire to be closer to and share your beautiful feelings with the one you love, then this stirring poetry book is written for you. Curl up with my magnetic love poems and let yourself be pulled toward happiness."
Home Body,4.8,Rupi Kaur,Female,2020,192,Stand Alone,Philosophical,Poem,"rupi kaur constantly embraces growth, and in home body, she walks readers through a reflective and intimate journey visiting the past, the present, and the potential of the self. home body is a collection of raw, honest conversations with oneself - reminding readers to fill up on love, acceptance, community, family, and embrace change. illustrated by the author, themes of nature and nurture, light and dark, rest here.

i dive into the well of my body
and end up in another world
everything i need
already exists in me
there’s no need
to look anywhere else"
Everything I know About Love,4.2,Dolly Alderton,Female,2021,368,Stand Alone,Philosophical,No Sub-Genre,"When it comes to the trials and triumphs of becoming an adult, journalist and former Sunday Times columnist Dolly Alderton has seen and tried it all. In her memoir, she vividly recounts falling in love, finding a job, getting drunk, getting dumped, realizing that Ivan from the corner shop might just be the only reliable man in her life, and that absolutely no one can ever compare to her best girlfriends. Everything I Know About Love is about bad dates, good friends and—above all else— realizing that you are enough.

Glittering with wit and insight, heart and humor, Dolly Alderton’s unforgettable debut weaves together personal stories, satirical observations, a series of lists, recipes, and other vignettes that will strike a chord of recognition with women of every age—making you want to pick up the phone and tell your best friends all about it. Like Bridget Jones’ Diary but all true, Everything I Know About Love is about the struggles of early adulthood in all its terrifying and hopeful uncertainty."
Neopolitan Novels,4,Elena Ferrante,Female,2012,470,Series,Realistic Fiction,Historical Fiction,"Now an HBO series: the first volume in the New York Times–bestselling “enduring masterpiece” about a lifelong friendship between two women from Naples (The Atlantic).
 
Beginning in the 1950s in a poor but vibrant neighborhood on the outskirts of Naples, Elena Ferrante’s four-volume story spans almost sixty years, as its main characters, the fiery and unforgettable Lila and the bookish narrator, Elena, become women, wives, mothers, and leaders, all the while maintaining a complex and at times conflicted friendship. This first novel in the series follows Lila and Elena from their fateful meeting as ten-year-olds through their school years and adolescence.
 
Through the lives of these two women, Ferrante tells the story of a neighborhood, a city, and a country as it is transformed in ways that, in turn, also transform the relationship between two women."
"Tomorrow, and Tomorrow, and Tomorrow",4.4,Gabriella Zevin,Female,2020,640,Stand Alone,Realistic Fiction,Friendship,"These friends, intimates since childhood, borrow money, beg favors, and, before even graduating college, they have created their first blockbuster, Ichigo. Overnight, the world is theirs. Not even twenty-five years old, Sam and Sadie are brilliant, successful, and rich, but these qualities won’t protect them from their own creative ambitions or the betrayals of their hearts.

Spanning thirty years, from Cambridge, Massachusetts, to Venice Beach, California, and lands in between and far beyond, Gabrielle Zevin’s Tomorrow, and Tomorrow, and Tomorrow examines the multifarious nature of identity, disability, failure, the redemptive possibilities in play, and above all, our need to connect: to be loved and to love."
Azuria,4.6,Ryan Casady,Male,2013,354,Stand Alone,Fantasy,Adventure,"Aerius knows he is the strongest, fastest giant in all of Myloria. If he wins this year’s Challenge of Champions against the other young giants his age, everyone else will know it too. At age sixteen, he knows and cares little about the world beyond the town walls; all that matters is that he win the heart of the girl he loves.

Little does he realize that the winds of fate sweeping across Azuria will forever alter the course of his life; interlacing his destiny with a beautiful young princess and thrusting him into the heart of a conflict bigger than anything he ever imagined."
Norse Mythology,4.5,Neil Gaimen,Male,2018,869,Stand Alone,Mythology,Fantasy,"Gaiman fashions these primeval stories into a novelistic arc that begins with the genesis of the legendary nine worlds and delves into the exploits of deities, dwarfs, and giants. Once, when Thor’s hammer is stolen, Thor must disguise himself as a woman―difficult with his beard and huge appetite―to steal it back. More poignant is the tale in which the blood of Kvasir―the most sagacious of gods―is turned into a mead that infuses drinkers with poetry. The work culminates in Ragnarok, the twilight of the gods and rebirth of a new time and people.

Through Gaiman’s deft and witty prose emerge these gods with their fiercely competitive natures, their susceptibility to being duped and to duping others, and their tendency to let passion ignite their actions, making these long-ago myths breathe pungent life again.
"
The Greek Myths,4.5,Robert Graves,Male,2018,784,Stand Alone,Mythology,Fantasy,"From the creation of the world out of Chaos and the birth of the Olympians to the Trojan War and Odysseus's return, Robert Graves's superb retelling of the Greek myths has long been acclaimed as the definitive edition. Graves draws on sources scattered throughout ancient literature, using a novelist's skill to weave a crisp, coherent narrative of each myth and providing commentaries with cross-references, interpretations, and explanations based on solid scholarship. The result is a classic volume of many of the greatest stories ever told—stories of the gods, heroes, and extraordinary events that inspired Homer, the Greek tragedians, and so much of subsequent European literature."
Elevation,4.4,Stephen King,Male,2019,160,Stand Alone,Suspense,No Sub-Genre,"Although Scott Carey doesn’t look any different, he’s been steadily losing weight. There are a couple of other odd things, too. He weighs the same in his clothes and out of them, no matter how heavy they are. Scott doesn’t want to be poked and prodded. He mostly just wants someone else to know, and he trusts Doctor Bob Ellis.

In the small town of Castle Rock, the setting of many of King’s most iconic stories, Scott is engaged in a low grade—but escalating—battle with the lesbians next door whose dog regularly drops his business on Scott’s lawn. One of the women is friendly; the other, cold as ice. Both are trying to launch a new restaurant, but the people of Castle Rock want no part of a gay married couple, and the place is in trouble. When Scott finally understands the prejudices they face—including his own—he tries to help. Unlikely alliances, the annual foot race, and the mystery of Scott’s affliction bring out the best in people who have indulged the worst in themselves and others."
